group1,group2,meandiff,lower_ci,upper_ci,reject
0,1,0.3920213513133861,0.16311239392776553,0.6209303086990067,True
0,2,-0.21611356932153392,-0.4320477601359287,-0.00017937850713914405,True
1,2,-0.60813492063492,-0.8284766671326962,-0.38779317413714387,True
