,sum_sq,df,F,PR(>F)
C(Group),627077.395417021,1.0,1820.13571875123,4.617810622894208e-290
C(Decay_Rate),929.9443994886461,2.0,1.3496141228598368,0.2595557282181307
C(Group):C(Decay_Rate),170.3222417009073,2.0,0.24718607151469557,0.7810171259247307
Residual,755192.9433576374,2192.0,,
