,Common Knowledge,Loss Aversion,Bounded Rationality,Schelling Points
Common Knowledge,1155,600,600,600
Loss Aversion,600,1304,600,600
Bounded Rationality,600,600,1261,600
Schelling Points,600,600,600,1195
