group1,group2,meandiff,lower_ci,upper_ci,reject
0,1,59.433333333333394,-15.065238802878781,133.93190546954557,False
0,2,-44.48333333333335,-118.98190546954552,30.015238802878827,False
1,2,-103.91666666666674,-178.41523880287892,-29.418094530454567,True
