,sum_sq,df,F,PR(>F)
C(Group),520752.4000000001,1.0,17.30860664966677,3.992377143932545e-05
C(Decay_Rate),55765354.00555589,2.0,926.755764506881,2.007935902918424e-141
C(Group):C(Decay_Rate),92780.21666666603,2.0,1.541900023076398,0.21540769368521734
Residual,10650559.766666666,354.0,,
