,sum_sq,df,F,PR(>F)
C(Group),178.58796564647037,1.0,119.83624837333434,3.426899763335583e-27
C(Decay_Rate),22.694610603562985,2.0,7.614278440262955,0.0005065179282055628
C(Group):C(Decay_Rate),15.941210150133914,2.0,5.3484421864814555,0.00481781688919968
Residual,3266.6645193823574,2192.0,,
