group1,group2,meandiff,lower_ci,upper_ci,reject
0,1,-8.719251299339788,-11.548441221914908,-5.890061376764669,True
0,2,-42.91482669616519,-45.58365557717024,-40.245997815160145,True
1,2,-34.195575396825404,-36.918879263278946,-31.472271530371863,True
