group,name,total bought,highest price
1,Retailer1,0.0,0.0
1,Retailer2,1054.0,108.0
1,Retailer3,8500.0,100.0
1,Retailer4,3300.0,105.0
1,Retailer5,4200.0,110.0
1,Retailer6,5000.0,110.0
1,Retailer7,2500.0,100.0
1,Retailer8,1500.0,100.0
1,Retailer9,2030.0,105.0
1,Retailer10,0.0,0.0
1,Retailer1,2800.0,115.0
1,Retailer2,2600.0,105.0
1,Retailer3,2925.0,105.0
1,Retailer4,5000.0,105.0
1,Retailer5,0.0,0.0
1,Retailer6,5600.0,110.0
1,Retailer7,1685.0,100.0
1,Retailer8,1600.0,102.0
1,Retailer9,4000.0,105.0
1,Retailer10,1200.0,98.0
1,Retailer1,1700.0,107.0
1,Retailer2,0.0,0.0
1,Retailer3,6000.0,110.0
1,Retailer4,0.0,0.0
1,Retailer5,3200.0,105.0
1,Retailer6,3200.0,105.0
1,Retailer7,4700.0,100.0
1,Retailer8,2074.0,101.0
1,Retailer9,4900.0,105.0
1,Retailer10,2400.0,105.0
1,Retailer1,3000.0,105.0
1,Retailer2,2283.0,109.0
1,Retailer3,1500.0,105.0
1,Retailer4,2400.0,105.0
1,Retailer5,0.0,0.0
1,Retailer6,3600.0,48.0
1,Retailer7,1200.0,100.0
1,Retailer8,3300.0,109.0
1,Retailer9,4000.0,100.0
1,Retailer10,6600.0,100.0
1,Retailer1,3600.0,108.0
1,Retailer2,1592.0,108.0
1,Retailer3,6500.0,100.0
1,Retailer4,3200.0,100.0
1,Retailer5,0.0,0.0
1,Retailer6,7000.0,107.0
1,Retailer7,950.0,95.0
1,Retailer8,1500.0,100.0
1,Retailer9,2800.0,110.0
1,Retailer10,1000.0,100.0
1,Retailer1,2600.0,108.0
1,Retailer2,1395.0,108.0
1,Retailer3,3235.0,90.0
1,Retailer4,1600.0,105.0
1,Retailer5,2500.0,108.0
1,Retailer6,7200.0,106.0
1,Retailer7,1000.0,100.0
1,Retailer8,1200.0,108.0
1,Retailer9,2600.0,108.0
1,Retailer10,5100.0,108.0
1,Retailer1,4000.0,104.0
1,Retailer2,0.0,0.0
1,Retailer3,4000.0,115.0
1,Retailer4,9500.0,105.0
1,Retailer5,3500.0,100.0
1,Retailer6,945.0,108.0
1,Retailer7,1300.0,103.0
1,Retailer8,0.0,0.0
1,Retailer9,4000.0,104.0
1,Retailer10,1100.0,108.0
1,Retailer1,2000.0,100.0
1,Retailer2,3400.0,100.0
1,Retailer3,475.0,58.0
1,Retailer4,3600.0,102.0
1,Retailer5,2000.0,103.0
1,Retailer6,3000.0,100.0
1,Retailer7,7700.0,108.0
1,Retailer8,4800.0,100.0
1,Retailer9,1500.0,100.0
1,Retailer10,0.0,0.0
1,Retailer1,4500.0,105.0
1,Retailer2,3600.0,107.0
1,Retailer3,2000.0,100.0
1,Retailer4,0.0,0.0
1,Retailer5,2954.0,100.0
1,Retailer6,3600.0,105.0
1,Retailer7,1600.0,105.0
1,Retailer8,4700.0,105.0
1,Retailer9,3500.0,105.0
1,Retailer10,1800.0,105.0
1,Retailer1,1300.0,105.0
1,Retailer2,2500.0,100.0
1,Retailer3,4500.0,105.0
1,Retailer4,1600.0,100.0
1,Retailer5,1600.0,110.0
1,Retailer6,3800.0,105.0
1,Retailer7,8135.0,100.0
1,Retailer8,900.0,105.0
1,Retailer9,2200.0,105.0
1,Retailer10,1700.0,100.0
1,Retailer1,2500.0,110.0
1,Retailer2,4200.0,105.0
1,Retailer3,4200.0,105.0
1,Retailer4,2698.0,107.0
1,Retailer5,2370.0,105.0
1,Retailer6,3700.0,110.0
1,Retailer7,2000.0,95.0
1,Retailer8,0.0,0.0
1,Retailer9,3705.0,105.0
1,Retailer10,2200.0,105.0
1,Retailer1,1800.0,106.0
1,Retailer2,4000.0,105.0
1,Retailer3,2600.0,110.0
1,Retailer4,5150.0,105.0
1,Retailer5,1537.0,100.0
1,Retailer6,0.0,0.0
1,Retailer7,244.0,95.0
1,Retailer8,1400.0,100.0
1,Retailer9,6449.0,105.0
1,Retailer10,4400.0,105.0
1,Retailer1,4628.0,108.0
1,Retailer2,4300.0,105.0
1,Retailer3,5300.0,108.0
1,Retailer4,2000.0,107.0
1,Retailer5,2400.0,108.0
1,Retailer6,0.0,0.0
1,Retailer7,1800.0,110.0
1,Retailer8,2500.0,110.0
1,Retailer9,3600.0,108.0
1,Retailer10,1800.0,105.0
1,Retailer1,7000.0,110.0
1,Retailer2,5485.0,110.0
