group,name,remaining stock,decayed stock,total sold
2,Supplier1,0.0,100.0,9900.0
2,Supplier2,0.0,142.0,9858.0
2,Supplier3,0.0,77.0,9923.0
2,Supplier1,0.0,92.0,9908.0
2,Supplier2,0.0,80.0,9920.0
2,Supplier3,0.0,100.0,9900.0
2,Supplier1,0.0,107.0,9893.0
2,Supplier2,0.0,117.0,9883.0
2,Supplier3,0.0,141.0,9859.0
2,Supplier1,0.0,110.0,9890.0
2,Supplier2,0.0,117.0,9883.0
2,Supplier3,0.0,47.0,9953.0
2,Supplier1,0.0,109.0,9891.0
2,Supplier2,0.0,92.0,9908.0
2,Supplier3,0.0,100.0,9900.0
2,Supplier1,0,118.0,9882.0
2,Supplier2,0,70.0,9930.0
2,Supplier3,518,132.0,9350.0
2,Supplier1,0.0,128.0,9872.0
2,Supplier2,0.0,70.0,9930.0
2,Supplier3,0.0,56.0,9944.0
2,Supplier1,0.0,148.0,9852.0
2,Supplier2,0.0,117.0,9883.0
2,Supplier3,0.0,100.0,9900.0
2,Supplier1,0.0,93.0,9907.0
2,Supplier2,0.0,70.0,9930.0
2,Supplier3,0.0,88.0,9912.0
2,Supplier1,0.0,217.0,9783.0
2,Supplier2,0.0,100.0,9900.0
2,Supplier3,0.0,90.0,9910.0
2,Supplier1,0.0,100.0,9900.0
2,Supplier2,0.0,141.0,9859.0
2,Supplier3,0.0,47.0,9953.0
2,Supplier1,0.0,141.0,9859.0
2,Supplier2,0.0,125.0,9875.0
2,Supplier3,0.0,133.0,9867.0
2,Supplier1,0.0,100.0,9900.0
2,Supplier2,0.0,104.0,9896.0
2,Supplier3,0.0,112.0,9888.0
2,Supplier1,0.0,102.0,9898.0
2,Supplier2,0.0,100.0,9900.0
2,Supplier3,0.0,128.0,9872.0
2,Supplier1,0.0,115.0,9885.0
2,Supplier2,0.0,81.0,9919.0
2,Supplier3,0.0,85.0,9915.0
2,Supplier1,0.0,100.0,9900.0
2,Supplier2,0.0,150.0,9850.0
2,Supplier3,0.0,90.0,9910.0
2,Supplier1,0.0,100.0,9900.0
2,Supplier2,0.0,100.0,9900.0
2,Supplier3,0.0,55.0,9945.0
2,Supplier1,0.0,80.0,9920.0
2,Supplier2,0.0,106.0,9894.0
2,Supplier3,0.0,100.0,9900.0
2,Supplier1,0.0,143.0,9857.0
2,Supplier2,0.0,100.0,9900.0
2,Supplier3,0.0,100.0,9900.0
2,Supplier1,0.0,92.0,9908.0
2,Supplier2,0.0,90.0,9910.0
2,Supplier3,0.0,80.0,9920.0
