group,name,total bought,highest price
1,Retailer10,5300.0,108.0
1,Retailer1,2400.0,100.0
1,Retailer2,2430.0,110.0
1,Retailer3,3600.0,108.0
1,Retailer4,5424.0,100.0
1,Retailer5,0.0,0.0
1,Retailer6,4500.0,102.0
1,Retailer7,2500.0,107.0
1,Retailer8,2000.0,109.0
1,Retailer9,3100.0,55.0
1,Retailer10,3648.0,100.0
