group,name,remaining stock,decayed stock,total sold
1,Supplier1,0,670,9330
1,Supplier2,0,746,9254
1,Supplier3,0,500,9500
1,Supplier1,0,575,9425
1,Supplier2,446,754,8800
1,Supplier3,0,815,9185
1,Supplier1,0,500,9500
1,Supplier2,0,826,9174
1,Supplier3,0,500,9500
1,Supplier1,0,550,9450
1,Supplier2,0,505,9495
1,Supplier3,0,1062,8938
1,Supplier1,0,500,9500
1,Supplier2,0,500,9500
1,Supplier3,0,858,9142
1,Supplier1,0,505,9495
1,Supplier2,0,565,9435
1,Supplier3,0,500,9500
1,Supplier1,0,500,9500
1,Supplier2,0,500,9500
1,Supplier3,0,655,9345
1,Supplier1,0,500,9500
1,Supplier2,0,525,9475
1,Supplier3,0,500,9500
1,Supplier1,0,746,9254
1,Supplier2,0,500,9500
1,Supplier3,0,500,9500
1,Supplier1,0,500,9500
1,Supplier2,0,500,9500
1,Supplier3,0,765,9235
1,Supplier1,0,730,9270
1,Supplier2,0,595,9405
1,Supplier3,0,1102,8898
1,Supplier1,0,851,9149
1,Supplier2,0,613,9387
1,Supplier3,0,956,9044
1,Supplier1,0,500,9500
1,Supplier2,0,500,9500
1,Supplier3,0,672,9328
1,Supplier1,0,580,9420
1,Supplier2,0,915,9085
1,Supplier3,0,895,9105
1,Supplier1,0,500,9500
1,Supplier2,0,1018,8982
1,Supplier3,0,760,9240
1,Supplier1,0,500,9500
1,Supplier2,0,745,9255
1,Supplier3,0,500,9500
1,Supplier1,0,500,9500
1,Supplier2,0,500,9500
1,Supplier3,0,500,9500
1,Supplier1,0,500,9500
1,Supplier2,0,650,9350
1,Supplier3,0,912,9088
1,Supplier1,0,500,9500
1,Supplier2,0,500,9500
1,Supplier3,0,500,9500
1,Supplier1,0,545,9455
1,Supplier2,0,685,9315
1,Supplier3,0,580,9420
