group,name,total bought,highest price
2,Retailer1,3500.0,55.0
2,Retailer2,5318.0,98.0
2,Retailer3,810.0,58.0
2,Retailer4,2500.0,105.0
2,Retailer5,2400.0,50.0
2,Retailer6,4200.0,105.0
2,Retailer7,2700.0,55.0
2,Retailer8,1200.0,50.0
2,Retailer9,2400.0,80.0
2,Retailer10,1800.0,55.0
2,Retailer1,2650.0,105.0
2,Retailer2,4360.0,75.0
2,Retailer3,1150.0,82.5
2,Retailer4,4500.0,50.0
2,Retailer5,1280.0,52.0
2,Retailer6,1000.0,95.0
2,Retailer7,3600.0,55.0
2,Retailer8,3700.0,105.0
2,Retailer9,0.0,0.0
2,Retailer10,4600.0,58.0
2,Retailer1,1200.0,90.0
2,Retailer2,4400.0,53.0
2,Retailer3,4900.0,56.0
2,Retailer4,4800.0,52.0
2,Retailer5,1597.0,52.0
2,Retailer6,1780.0,75.0
2,Retailer7,4500.0,52.0
2,Retailer8,820.0,58.5
2,Retailer9,1600.0,52.0
2,Retailer10,1780.0,50.0
2,Retailer1,1200.0,70.0
2,Retailer2,2615.0,102.0
2,Retailer3,5600.0,50.0
2,Retailer4,3600.0,95.0
2,Retailer5,1600.0,45.0
2,Retailer6,3800.0,50.0
2,Retailer7,2680.0,65.0
2,Retailer8,1200.0,85.0
2,Retailer9,3900.0,55.0
2,Retailer10,1000.0,75.0
2,Retailer1,1200.0,100.0
2,Retailer2,1100.0,55.0
2,Retailer3,3300.0,52.0
2,Retailer4,3600.0,50.0
2,Retailer5,800.0,110.0
2,Retailer6,3600.0,51.0
2,Retailer7,5300.0,50.0
2,Retailer8,3500.0,98.0
2,Retailer9,1870.0,70.0
2,Retailer10,2400.0,50.0
2,Retailer1,2000.0,78.0
2,Retailer2,4000.0,100.0
2,Retailer3,5400.0,55.0
2,Retailer4,3900.0,55.0
2,Retailer5,1900.0,54.0
2,Retailer6,3120.0,88.0
2,Retailer7,3600.0,50.0
2,Retailer8,1200.0,52.0
2,Retailer9,1000.0,50.0
2,Retailer10,1100.0,85.0
2,Retailer1,5200.0,100.0
2,Retailer2,4400.0,105.0
2,Retailer3,3900.0,100.0
2,Retailer4,3930.0,58.0
2,Retailer5,900.0,85.0
2,Retailer6,835.0,50.0
2,Retailer7,1800.0,52.0
2,Retailer8,2400.0,104.0
2,Retailer9,2300.0,55.0
2,Retailer10,1200.0,90.0
2,Retailer1,3648.0,110.0
2,Retailer2,2500.0,50.0
2,Retailer3,4200.0,55.0
2,Retailer4,0.0,0.0
2,Retailer5,2200.0,55.0
2,Retailer6,3100.0,55.0
2,Retailer7,3100.0,53.0
2,Retailer8,2500.0,90.0
2,Retailer9,2319.0,72.0
2,Retailer10,3200.0,60.0
2,Retailer1,2100.0,100.0
2,Retailer2,6600.0,102.0
2,Retailer3,0.0,0.0
2,Retailer4,4300.0,52.0
2,Retailer5,4350.0,60.0
2,Retailer6,800.0,50.0
2,Retailer7,3400.0,54.0
2,Retailer8,1000.0,100.0
2,Retailer9,2620.0,54.0
2,Retailer10,1500.0,51.0
2,Retailer1,900.0,70.0
2,Retailer2,3360.0,105.0
2,Retailer3,0.0,0.0
2,Retailer4,2500.0,92.0
2,Retailer5,2400.0,55.0
2,Retailer6,2900.0,52.0
2,Retailer7,0.0,0.0
2,Retailer8,4300.0,50.0
2,Retailer9,7000.0,100.0
2,Retailer10,3500.0,108.0
2,Retailer1,3800.0,92.0
2,Retailer2,2200.0,51.0
2,Retailer3,0.0,0.0
2,Retailer4,5500.0,51.0
2,Retailer5,2000.0,50.0
2,Retailer6,1600.0,44.0
2,Retailer7,3400.0,50.0
2,Retailer8,6120.0,85.0
2,Retailer9,2000.0,49.0
2,Retailer10,770.0,110.0
2,Retailer1,3500.0,100.0
2,Retailer2,2600.0,65.0
2,Retailer3,4000.0,100.0
2,Retailer4,2400.0,55.0
2,Retailer5,3200.0,108.0
2,Retailer6,800.0,112.0
2,Retailer7,4000.0,105.0
2,Retailer8,1460.0,54.0
2,Retailer9,3400.0,105.0
2,Retailer10,1600.0,47.0
2,Retailer1,3800.0,115.0
2,Retailer2,4350.0,106.0
2,Retailer3,4900.0,100.0
2,Retailer4,1400.0,103.0
2,Retailer5,3600.0,55.0
2,Retailer6,1510.0,50.0
2,Retailer7,0.0,0.0
2,Retailer8,2200.0,100.0
2,Retailer9,868.0,105.0
2,Retailer10,3000.0,105.0
2,Retailer1,0.0,0.0
2,Retailer2,630.0,78.0
2,Retailer3,3900.0,52.0
2,Retailer4,4418.0,55.0
2,Retailer5,2000.0,48.0
2,Retailer6,7400.0,55.0
2,Retailer7,1000.0,75.0
2,Retailer8,3500.0,55.0
2,Retailer9,800.0,55.0
2,Retailer10,3400.0,51.0
2,Retailer1,3300.0,54.0
2,Retailer2,4350.0,55.0
2,Retailer3,1500.0,57.0
2,Retailer4,1800.0,50.0
2,Retailer5,3000.0,54.0
2,Retailer6,3058.0,51.0
2,Retailer7,3320.0,50.0
2,Retailer8,2000.0,46.0
2,Retailer9,3800.0,54.0
2,Retailer10,1100.0,55.0
2,Retailer1,2054.0,105.0
2,Retailer2,2200.0,90.0
2,Retailer3,2800.0,115.0
2,Retailer4,1100.0,108.0
2,Retailer5,1200.0,50.0
2,Retailer6,3200.0,55.0
2,Retailer7,3900.0,100.0
2,Retailer8,1900.0,53.0
2,Retailer9,3240.0,49.0
2,Retailer10,4300.0,100.0
2,Retailer1,1700.0,98.0
2,Retailer2,3300.0,52.0
2,Retailer3,5200.0,50.0
2,Retailer4,1300.0,85.0
2,Retailer5,0.0,0.0
2,Retailer6,2500.0,49.0
2,Retailer7,4400.0,105.0
2,Retailer8,1600.0,53.0
2,Retailer9,3300.0,52.0
2,Retailer10,3350.0,59.0
2,Retailer1,1800.0,65.0
2,Retailer2,4800.0,52.0
2,Retailer3,1000.0,90.0
2,Retailer4,4200.0,55.0
2,Retailer5,1800.0,95.0
2,Retailer6,3700.0,100.0
2,Retailer7,4200.0,85.0
2,Retailer8,700.0,102.0
2,Retailer9,4900.0,53.0
2,Retailer10,0.0,0.0
2,Retailer1,2100.0,50.0
2,Retailer2,4000.0,52.0
2,Retailer3,4000.0,85.0
2,Retailer4,2900.0,58.0
2,Retailer5,4000.0,52.0
2,Retailer6,0.0,0.0
2,Retailer7,800.0,100.0
2,Retailer8,1000.0,85.0
2,Retailer9,2000.0,48.0
2,Retailer10,6250.0,105.0
2,Retailer1,4150.0,108.0
2,Retailer2,800.0,44.0
2,Retailer3,4200.0,48.0
2,Retailer4,1600.0,52.0
2,Retailer5,1600.0,55.0
2,Retailer6,3600.0,55.0
2,Retailer7,3820.0,55.0
2,Retailer8,4600.0,55.0
2,Retailer9,1000.0,55.0
2,Retailer10,2200.0,100.0
