group,name,remaining stock,decayed stock,total sold
2,Supplier1,0,500,9500
2,Supplier2,0,513,9487
2,Supplier3,0,450,9550
2,Supplier1,0,350,9650
2,Supplier2,0,305,9695
2,Supplier3,0,600,9400
2,Supplier1,0,500,9500
2,Supplier2,0,463,9537
2,Supplier3,0,800,9200
2,Supplier1,0,500,9500
2,Supplier2,0,430,9570
2,Supplier3,844,686,8470
2,Supplier1,0,376,9624
2,Supplier2,0,620,9380
2,Supplier3,0,410,9590
2,Supplier1,0,730,9270
2,Supplier2,0,563,9437
2,Supplier3,0,545,9455
2,Supplier1,0,500,9500
2,Supplier2,0,440,9560
2,Supplier3,0,440,9560
2,Supplier1,0,500,9500
2,Supplier2,0,690,9310
2,Supplier3,0,500,9500
2,Supplier1,85,657,9258
2,Supplier2,0,440,9560
2,Supplier3,0,500,9500
2,Supplier1,0,500,9500
2,Supplier2,0,435,9565
2,Supplier3,0,500,9500
2,Supplier1,0,500,9500
2,Supplier2,0,697,9303
2,Supplier3,0,645,9355
2,Supplier1,1358,696,7946
2,Supplier2,0,380,9620
2,Supplier3,0,634,9366
2,Supplier1,0,500,9500
2,Supplier2,0,440,9560
2,Supplier3,0,500,9500
2,Supplier1,0,500,9500
2,Supplier2,9,411,9580
2,Supplier3,0,440,9560
2,Supplier1,0,775,9225
2,Supplier2,0,875,9125
2,Supplier3,0,825,9175
2,Supplier1,0,500,9500
2,Supplier2,0,450,9550
2,Supplier3,0,445,9555
2,Supplier1,0,755,9245
2,Supplier2,0,440,9560
2,Supplier3,0,250,9750
2,Supplier1,0,500,9500
2,Supplier2,0,581,9419
2,Supplier3,0,543,9457
2,Supplier1,0,500,9500
2,Supplier2,0,500,9500
2,Supplier3,0,644,9356
2,Supplier1,0,385,9615
2,Supplier2,0,437,9563
2,Supplier3,0,500,9500
