group,name,total bought,highest price
1,Retailer1,2700.0,105.0
1,Retailer2,0.0,0.0
1,Retailer3,2068.0,100.0
1,Retailer4,6200.0,104.0
1,Retailer5,0.0,0.0
1,Retailer6,2800.0,105.0
1,Retailer7,6500.0,105.0
1,Retailer8,0.0,0.0
1,Retailer9,4500.0,110.0
1,Retailer10,1420.0,104.0
1,Retailer1,0.0,0.0
1,Retailer2,3000.0,100.0
1,Retailer3,2200.0,108.0
1,Retailer4,2200.0,108.0
1,Retailer5,1800.0,108.0
1,Retailer6,2500.0,100.0
1,Retailer7,5300.0,105.0
1,Retailer8,1700.0,100.0
1,Retailer9,2720.0,105.0
1,Retailer10,5000.0,110.0
1,Retailer1,1594.0,102.0
1,Retailer2,6500.0,108.0
1,Retailer3,3600.0,106.0
1,Retailer4,2000.0,105.0
1,Retailer5,0.0,0.0
1,Retailer6,1500.0,100.0
1,Retailer7,1800.0,105.0
1,Retailer8,0.0,0.0
1,Retailer9,1500.0,107.0
1,Retailer10,7500.0,108.0
1,Retailer1,0.0,0.0
1,Retailer2,1500.0,100.0
1,Retailer3,5000.0,100.0
1,Retailer4,1200.0,105.0
1,Retailer5,5600.0,108.0
1,Retailer6,2680.0,108.0
1,Retailer7,3000.0,108.0
1,Retailer8,5500.0,105.0
1,Retailer9,0.0,0.0
1,Retailer10,2500.0,100.0
1,Retailer1,4000.0,101.0
1,Retailer2,3200.0,105.0
1,Retailer3,0.0,0.0
1,Retailer4,3180.0,103.0
1,Retailer5,3600.0,104.0
1,Retailer6,1350.0,104.0
1,Retailer7,6500.0,108.0
1,Retailer8,0.0,0.0
1,Retailer9,1200.0,110.0
1,Retailer10,3100.0,105.0
1,Retailer1,2700.0,105.0
1,Retailer2,2620.0,108.0
1,Retailer3,1500.0,100.0
1,Retailer4,3300.0,105.0
1,Retailer5,2800.0,108.0
1,Retailer6,3400.0,105.0
1,Retailer7,3700.0,108.0
1,Retailer8,1700.0,105.0
1,Retailer9,3550.0,105.0
1,Retailer10,1300.0,105.0
1,Retailer1,5000.0,100.0
1,Retailer2,4000.0,108.0
1,Retailer3,1600.0,98.0
1,Retailer4,2800.0,105.0
1,Retailer5,2200.0,105.0
1,Retailer6,4800.0,105.0
1,Retailer7,1200.0,105.0
1,Retailer8,2000.0,106.0
1,Retailer9,3020.0,100.0
1,Retailer10,0.0,0.0
1,Retailer1,1500.0,100.0
1,Retailer2,2000.0,103.0
1,Retailer3,5700.0,115.0
1,Retailer4,1900.0,100.0
1,Retailer5,1800.0,105.0
1,Retailer6,7500.0,110.0
1,Retailer7,1300.0,105.0
1,Retailer8,1200.0,100.0
1,Retailer9,2030.0,108.0
1,Retailer10,2000.0,105.0
1,Retailer1,8000.0,110.0
1,Retailer2,0.0,0.0
1,Retailer3,2200.0,48.0
1,Retailer4,1100.0,42.0
1,Retailer5,9000.0,90.0
1,Retailer6,0.0,0.0
1,Retailer7,1800.0,105.0
1,Retailer8,2000.0,100.0
1,Retailer9,2000.0,95.0
1,Retailer10,1000.0,98.0
1,Retailer1,4600.0,110.0
1,Retailer2,100.0,100.0
1,Retailer3,2171.0,95.0
1,Retailer4,2200.0,105.0
1,Retailer5,3600.0,107.0
1,Retailer6,2200.0,105.0
1,Retailer7,3500.0,110.0
1,Retailer8,4500.0,110.0
1,Retailer9,2400.0,100.0
1,Retailer10,1200.0,102.0
1,Retailer1,4400.0,105.0
1,Retailer2,7000.0,105.0
1,Retailer3,2500.0,110.0
1,Retailer4,2800.0,107.0
1,Retailer5,2800.0,110.0
1,Retailer6,0.0,0.0
1,Retailer7,3700.0,105.0
1,Retailer8,0.0,0.0
1,Retailer9,2500.0,100.0
1,Retailer10,2000.0,105.0
1,Retailer1,4800.0,100.0
1,Retailer2,1800.0,105.0
1,Retailer3,4700.0,100.0
1,Retailer4,0.0,0.0
1,Retailer5,3600.0,105.0
1,Retailer6,2520.0,100.0
1,Retailer7,1600.0,95.0
1,Retailer8,2000.0,100.0
1,Retailer9,3200.0,105.0
1,Retailer10,3000.0,108.0
1,Retailer1,3600.0,108.0
1,Retailer2,3250.0,104.0
1,Retailer3,3440.0,107.0
1,Retailer4,0.0,0.0
1,Retailer5,2500.0,110.0
1,Retailer6,3990.0,48.0
1,Retailer7,4000.0,100.0
1,Retailer8,2000.0,85.0
1,Retailer9,1000.0,90.0
1,Retailer10,2400.0,108.0
1,Retailer1,0.0,0.0
1,Retailer2,3674.0,105.0
1,Retailer3,1200.0,100.0
1,Retailer4,3600.0,105.0
1,Retailer5,1980.0,100.0
1,Retailer6,1200.0,100.0
1,Retailer7,5400.0,100.0
1,Retailer8,1200.0,100.0
1,Retailer9,2000.0,105.0
1,Retailer10,5400.0,105.0
1,Retailer1,1200.0,95.0
1,Retailer2,1800.0,105.0
1,Retailer3,1400.0,108.0
1,Retailer4,3400.0,108.0
1,Retailer5,3500.0,105.0
1,Retailer6,4000.0,105.0
1,Retailer7,3500.0,105.0
1,Retailer8,4090.0,105.0
1,Retailer9,3900.0,100.0
1,Retailer10,0.0,0.0
1,Retailer1,1700.0,101.0
1,Retailer2,2000.0,95.0
1,Retailer3,0.0,0.0
1,Retailer4,8570.0,105.0
1,Retailer5,4500.0,108.0
1,Retailer6,1551.0,105.0
1,Retailer7,2100.0,100.0
1,Retailer8,2000.0,105.0
1,Retailer9,1500.0,108.0
1,Retailer10,2100.0,108.0
1,Retailer1,4400.0,105.0
1,Retailer2,0.0,0.0
1,Retailer3,3850.0,110.0
1,Retailer4,3500.0,90.0
1,Retailer5,0.0,0.0
1,Retailer6,5465.0,108.0
1,Retailer7,2270.0,100.0
1,Retailer8,3150.0,107.0
1,Retailer9,1500.0,100.0
1,Retailer10,2500.0,110.0
1,Retailer1,0.0,0.0
1,Retailer2,1800.0,102.0
1,Retailer3,2800.0,108.0
1,Retailer4,1800.0,108.0
1,Retailer5,2900.0,110.0
1,Retailer6,6800.0,101.0
1,Retailer7,3300.0,102.0
1,Retailer8,4100.0,101.0
1,Retailer9,1800.0,110.0
