group,name,remaining stock,decayed stock,total sold
1,Supplier1,0.0,114.0,9886.0
1,Supplier2,0.0,124.0,9876.0
1,Supplier3,0.0,214.0,9786.0
1,Supplier1,0.0,130.0,9870.0
1,Supplier2,0.0,100.0,9900.0
1,Supplier3,0.0,80.0,9920.0
1,Supplier1,0,141.0,9859.0
1,Supplier2,891,250.0,8859.0
1,Supplier3,0,157.0,9843.0
1,Supplier1,0.0,266.0,9734.0
1,Supplier2,0.0,100.0,9900.0
1,Supplier3,0.0,100.0,9900.0
1,Supplier1,51,149.0,9800.0
1,Supplier2,0,191.0,9809.0
1,Supplier3,0,156.0,9844.0
1,Supplier1,0.0,154.0,9846.0
1,Supplier2,0.0,118.0,9882.0
1,Supplier3,0.0,100.0,9900.0
1,Supplier1,0.0,144.0,9856.0
1,Supplier2,0.0,100.0,9900.0
1,Supplier3,0.0,100.0,9900.0
1,Supplier1,0.0,118.0,9882.0
1,Supplier2,0.0,133.0,9867.0
1,Supplier3,0.0,133.0,9867.0
1,Supplier1,0.0,129.0,9871.0
1,Supplier2,0.0,82.0,9918.0
1,Supplier3,0.0,100.0,9900.0
1,Supplier1,0.0,119.0,9881.0
1,Supplier2,0.0,100.0,9900.0
1,Supplier3,0.0,170.0,9830.0
1,Supplier1,0.0,100.0,9900.0
1,Supplier2,0.0,150.0,9850.0
1,Supplier3,0.0,138.0,9862.0
1,Supplier1,0.0,162.0,9838.0
1,Supplier2,0.0,184.0,9816.0
1,Supplier3,0.0,121.0,9879.0
1,Supplier1,0.0,80.0,9920.0
1,Supplier2,0.0,110.0,9890.0
1,Supplier3,0.0,100.0,9900.0
1,Supplier1,0.0,100.0,9900.0
1,Supplier2,0.0,103.0,9897.0
1,Supplier3,0.0,140.0,9860.0
1,Supplier1,0.0,105.0,9895.0
1,Supplier2,0.0,122.0,9878.0
1,Supplier3,0.0,122.0,9878.0
1,Supplier1,0.0,161.0,9839.0
1,Supplier2,0.0,218.0,9782.0
1,Supplier3,0.0,235.0,9765.0
1,Supplier1,0.0,147.0,9853.0
1,Supplier2,0.0,100.0,9900.0
1,Supplier3,0.0,100.0,9900.0
1,Supplier1,0.0,202.0,9798.0
1,Supplier2,0.0,100.0,9900.0
1,Supplier3,0.0,100.0,9900.0
1,Supplier1,0,100.0,9900.0
1,Supplier2,3277,223.0,6500.0
1,Supplier3,0,100.0,9900.0
1,Supplier1,0.0,152.0,9848.0
1,Supplier2,0.0,146.0,9854.0
1,Supplier3,0.0,100.0,9900.0
