group,name,remaining stock,decayed stock,total sold
0,Supplier1,0,425,9575
0,Supplier2,0,360,9640
0,Supplier3,0,487,9513
0,Supplier1,0,815,9185
0,Supplier2,0,245,9755
0,Supplier3,0,410,9590
0,Supplier1,0,502,9498
0,Supplier2,0,350,9650
0,Supplier3,0,500,9500
0,Supplier1,0,410,9590
0,Supplier2,0,330,9670
0,Supplier3,0,714,9286
0,Supplier1,0,590,9410
0,Supplier2,0,500,9500
0,Supplier3,0,670,9330
0,Supplier1,0,500,9500
0,Supplier2,0,570,9430
0,Supplier3,0,410,9590
0,Supplier1,0,815,9185
0,Supplier2,0,580,9420
0,Supplier3,0,500,9500
0,Supplier1,2443,1137,6420
0,Supplier2,0,721,9279
0,Supplier3,0,500,9500
0,Supplier1,0,548,9452
0,Supplier2,690,1008,8302
0,Supplier3,0,775,9225
0,Supplier1,0,500,9500
0,Supplier2,0,500,9500
0,Supplier3,0,0,10000
0,Supplier1,0,754,9246
0,Supplier2,0,778,9222
0,Supplier3,0,453,9547
0,Supplier1,0,570,9430
0,Supplier2,0,600,9400
0,Supplier3,0,380,9620
0,Supplier1,0,817,9183
0,Supplier2,0,500,9500
0,Supplier3,0,545,9455
0,Supplier1,0,500,9500
0,Supplier2,0,500,9500
0,Supplier3,0,730,9270
0,Supplier1,0,1062,8938
0,Supplier2,0,691,9309
0,Supplier3,0,500,9500
0,Supplier1,0,735,9265
0,Supplier2,0,500,9500
0,Supplier3,0,500,9500
0,Supplier1,0,735,9265
0,Supplier2,0,609,9391
0,Supplier3,0,1270,8730
0,Supplier1,0,500,9500
0,Supplier2,0,500,9500
0,Supplier3,0,500,9500
0,Supplier1,0,500,9500
0,Supplier2,0,470,9530
0,Supplier3,0,500,9500
0,Supplier1,0,525,9475
0,Supplier2,0,375,9625
0,Supplier3,0,389,9611
