group,name,total bought,highest price
2,Retailer1,2600.0,88.0
2,Retailer2,3400.0,55.0
2,Retailer3,3000.0,54.0
2,Retailer4,2000.0,55.0
2,Retailer5,623.0,48.0
2,Retailer6,2800.0,90.0
2,Retailer7,4758.0,47.0
2,Retailer8,5600.0,52.0
2,Retailer9,1200.0,60.0
2,Retailer10,3700.0,100.0
2,Retailer1,950.0,88.0
2,Retailer2,2500.0,95.0
2,Retailer3,6800.0,52.0
2,Retailer4,3600.0,100.0
2,Retailer5,1800.0,55.0
2,Retailer6,4908.0,100.0
2,Retailer7,1200.0,52.0
2,Retailer8,4000.0,52.0
2,Retailer9,2250.0,108.0
2,Retailer10,1720.0,47.0
2,Retailer1,3600.0,110.0
2,Retailer2,2400.0,105.0
2,Retailer3,2400.0,110.0
2,Retailer4,1450.0,95.0
2,Retailer5,2392.0,110.0
2,Retailer6,4700.0,100.0
2,Retailer7,2600.0,85.0
2,Retailer8,2600.0,100.0
2,Retailer9,4200.0,85.0
2,Retailer10,3293.0,95.0
2,Retailer1,4200.0,58.0
2,Retailer2,3600.0,68.0
2,Retailer3,2800.0,54.0
2,Retailer4,3690.0,53.0
2,Retailer5,2800.0,53.0
2,Retailer6,4183.0,54.0
2,Retailer7,2453.0,48.0
2,Retailer8,1200.0,54.0
2,Retailer9,2400.0,55.0
2,Retailer10,2400.0,56.0
2,Retailer1,2400.0,105.0
2,Retailer2,2483.0,55.0
2,Retailer3,3000.0,97.0
2,Retailer4,2000.0,57.0
2,Retailer5,3600.0,51.0
2,Retailer6,1600.0,105.0
2,Retailer7,0.0,0.0
2,Retailer8,9800.0,100.0
2,Retailer9,2800.0,97.0
2,Retailer10,2016.0,90.0
2,Retailer1,3800.0,55.5
2,Retailer2,3200.0,54.0
2,Retailer3,3944.0,100.0
2,Retailer4,3000.0,105.0
2,Retailer5,1800.0,114.0
2,Retailer6,1486.0,110.0
2,Retailer7,2432.0,80.0
2,Retailer8,3400.0,115.0
2,Retailer9,1600.0,70.0
2,Retailer10,4500.0,72.0
2,Retailer1,3116.0,105.0
2,Retailer2,2200.0,108.0
2,Retailer3,1300.0,46.0
2,Retailer4,9000.0,52.0
2,Retailer5,2600.0,55.0
2,Retailer6,1800.0,56.0
2,Retailer7,5130.0,52.0
2,Retailer8,1200.0,52.0
2,Retailer9,2000.0,105.0
2,Retailer10,1400.0,50.0
2,Retailer1,652.0,75.0
2,Retailer2,4500.0,50.0
2,Retailer3,2900.0,54.0
2,Retailer4,4500.0,51.0
2,Retailer5,1883.0,51.0
2,Retailer6,5500.0,99.0
2,Retailer7,2800.0,108.0
2,Retailer8,1800.0,108.0
2,Retailer9,2400.0,90.0
2,Retailer10,2700.0,60.0
2,Retailer1,1830.0,110.0
2,Retailer2,3000.0,110.0
2,Retailer3,3707.0,52.0
2,Retailer4,3600.0,50.0
2,Retailer5,312.0,86.0
2,Retailer6,3600.0,55.0
2,Retailer7,2800.0,52.0
2,Retailer8,3600.0,51.0
2,Retailer9,3700.0,105.0
2,Retailer10,3600.0,60.0
2,Retailer1,1200.0,85.0
2,Retailer2,2800.0,52.0
2,Retailer3,3500.0,100.0
2,Retailer4,7083.0,85.0
2,Retailer5,5000.0,51.0
2,Retailer6,3600.0,100.0
2,Retailer7,1200.0,87.0
2,Retailer8,3210.0,52.0
2,Retailer9,0.0,0.0
2,Retailer10,2000.0,105.0
2,Retailer1,2800.0,65.0
2,Retailer2,3200.0,55.0
2,Retailer3,4500.0,50.0
2,Retailer4,3600.0,109.0
2,Retailer5,3059.0,58.0
2,Retailer6,2300.0,52.0
2,Retailer7,2300.0,100.0
2,Retailer8,2400.0,55.0
2,Retailer9,2600.0,45.0
2,Retailer10,2953.0,55.0
2,Retailer1,75.0,105.0
2,Retailer2,6500.0,53.0
2,Retailer3,5659.0,55.0
2,Retailer4,2700.0,105.0
2,Retailer5,1500.0,108.0
2,Retailer6,1567.0,49.0
2,Retailer7,3700.0,52.0
2,Retailer8,3600.0,50.0
2,Retailer9,1600.0,50.0
2,Retailer10,2700.0,115.0
2,Retailer1,1396.0,100.0
2,Retailer2,1800.0,55.0
2,Retailer3,1900.0,50.0
2,Retailer4,2800.0,51.0
2,Retailer5,5400.0,55.0
2,Retailer6,2800.0,58.0
2,Retailer7,1188.0,48.0
2,Retailer8,1400.0,80.0
2,Retailer9,4500.0,100.0
2,Retailer10,6500.0,52.0
2,Retailer1,2800.0,105.0
2,Retailer2,3800.0,85.0
2,Retailer3,5500.0,52.0
2,Retailer4,2600.0,105.0
2,Retailer5,3900.0,70.0
2,Retailer6,2198.0,70.0
2,Retailer7,272.0,108.0
2,Retailer8,1800.0,98.0
2,Retailer9,3600.0,50.0
2,Retailer10,3200.0,52.0
2,Retailer1,2000.0,95.0
2,Retailer2,4265.0,55.0
2,Retailer3,3000.0,105.0
2,Retailer4,3000.0,54.0
2,Retailer5,4800.0,55.0
2,Retailer6,1154.0,95.0
2,Retailer7,2800.0,55.0
2,Retailer8,3500.0,52.0
2,Retailer9,3400.0,52.0
2,Retailer10,1800.0,54.0
2,Retailer1,1750.0,105.0
2,Retailer2,4500.0,45.0
2,Retailer3,2000.0,105.0
2,Retailer4,4000.0,48.0
2,Retailer5,1000.0,53.0
2,Retailer6,1200.0,110.0
2,Retailer7,4610.0,56.0
2,Retailer8,4700.0,50.0
2,Retailer9,2700.0,50.0
2,Retailer10,3200.0,100.0
2,Retailer1,4800.0,52.0
2,Retailer2,3000.0,50.0
2,Retailer3,1845.0,112.0
2,Retailer4,6000.0,54.0
2,Retailer5,1900.0,52.0
2,Retailer6,3400.0,52.5
2,Retailer7,1200.0,52.0
2,Retailer8,2400.0,100.0
